ACCOUNT_NO,PARCELNUMBER,DOC_OCCURENCE,ACTUAL_YEAR_BLT,ABSTRACT_CODE,ABSTRACT_DESC,BUILDING_CODE,BUILDING_DESC,BEDROOMS,BATHROOMS,NUMBER_STORIES,IMPSQFT,UNITS,MODEL,ARCH_STYLE_DESC
"M025015","594902400012",0,1976,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,2,1,924,1,"MOBILE","SINGLE WIDE"
"M025018","595123100235",0,1971,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,2,1,896,1,"MOBILE","SINGLE WIDE"
"M025020","590930100227",0,1964,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,460,1,"MOBILE","SINGLE WIDE"
"M025035","595118400093",0,1979,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,2,1,1248,1,"MOBILE","DOUBLE WIDE"
"M025036","595316300417",0,1973,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,552,1,"MOBILE","SINGLE WIDE"
"M025050","590319100848",0,1988,"4278","MANUF HOUS FARM ","4278","MANUF HOUS FARM",2,2,1,1678,1,"MOBILE","DOUBLE WIDE"
"M025052","567308401003",0,1978,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,2,1,1078,1,"MOBILE","SINGLE WIDE"
"M025062","567933400093",0,1971,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,2,1,938,1,"MOBILE","SINGLE WIDE"
"M025071","590309300803",0,1978,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,1.75,1,1405,1,"MOBILE","SINGLE WIDE"
"M025075","559710200006",0,1980,"1235","MANUFAC HOUSING ","1235","MANUFAC HOUSING",3,2,1,1316,1,"MOBILE","SINGLE WIDE"
"M025076","566530300074",0,1979,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,3,1,994,1,"MOBILE","SINGLE WIDE"
"M025080","595508316015",0,1974,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",1,1,1,564,1,"MOBILE","SINGLE WIDE"
"M025082","567712202004",0,1976,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,924,1,"MOBILE","SINGLE WIDE"
"M025087","566504100011",0,1971,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,672,1,"MOBILE","SINGLE WIDE"
"M025095","566530300074",0,1979,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,840,1,"MOBILE","SINGLE WIDE"
"M025096","559703400080",0,1968,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",1,1,1,720,1,"MOBILE","SINGLE WIDE"
"M025111","559703400080",0,1979,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,784,1,"MOBILE","SINGLE WIDE"
"M025116","567310400264",0,1978,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,1.5,1,924,1,"MOBILE","SINGLE WIDE"
"M025117","559710300121",0,1979,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1.5,1,924,1,"MOBILE","SINGLE WIDE"
"M025136","594911400392",0,1981,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,2,1,960,1,"MOBILE","DOUBLE WIDE"
"M025143","559710200006",0,1971,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,720,1,"MOBILE","SINGLE WIDE"
"M025153","567712202001",0,1960,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,600,1,"MOBILE","SINGLE WIDE"
"M025156","590531200249",0,1954,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",1,1,1,320,1,"MOBILE","SINGLE WIDE"
"M025168","594914300135",0,1972,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,2,1,600,1,"MOBILE","SINGLE WIDE"
"M025173","559710200006",0,1977,"1235","MANUFAC HOUSING ","1235","MANUFAC HOUSING",3,2.5,1,1344,1,"MOBILE","SINGLE WIDE"
"M025176","559710100079",0,1981,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1.5,1,938,1,"MOBILE","SINGLE WIDE"
"M025185","566520410003",0,1972,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,672,1,"MOBILE","SINGLE WIDE"
"M025187","567310400264",0,1974,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,980,1,"MOBILE","SINGLE WIDE"
"M025201","595508213001",0,1989,"1235","MANUFAC HOUSING ","1235","MANUFAC HOUSING",2,2,1,938,1,"MOBILE","SINGLE WIDE"
"M025213","565726100004",0,1983,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,2,1,798,1,"MOBILE","SINGLE WIDE"
"M025217","595308400157",0,1972,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,2,1,752,1,"MOBILE","SINGLE WIDE"
"M025248","595124300067",0,1972,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,672,1,"MOBILE","SINGLE WIDE"
"M025253","559716400047",0,1972,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,2,1,840,1,"MOBILE","SINGLE WIDE"
"M025284","559710200006",0,1978,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,938,1,"MOBILE","SINGLE WIDE"
"M025297","590131100113",0,1974,"9290","EXEMPT MH VALUE UNDER 28K","4278","MANUF HOUS FARM",3,2,1,980,1,"MOBILE","SINGLE WIDE"
"M025303","590333400784",0,1966,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",1,1,1,636,1,"MOBILE","SINGLE WIDE"
"M025337","591128400256",0,1979,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,2,1,1064,1,"MOBILE","SINGLE WIDE"
"M025374","590527100229",0,1976,"9290","EXEMPT MH VALUE UNDER 28K","4278","MANUF HOUS FARM",2,2,1,784,1,"MOBILE","SINGLE WIDE"
"M025388","595307400498",0,1977,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,672,1,"MOBILE","SINGLE WIDE"
"M025397","591126200116",0,1978,"9290","EXEMPT MH VALUE UNDER 28K","4278","MANUF HOUS FARM",3,2,1,1507,1,"MOBILE","SINGLE WIDE"
"M025405","566129203003",0,1978,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,2,1,871,1,"MOBILE","SINGLE WIDE"
"M025444","567316200118",0,1972,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,672,1,"MOBILE","SINGLE WIDE"
"M025462","590327200150",0,1976,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,2,1,1124,1,"MOBILE","SINGLE WIDE"
"M025488","594521200093",0,1966,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,2,1,1680,1,"MOBILE","SINGLE WIDE"
"M025489","616304100077",0,1980,"9290","EXEMPT MH VALUE UNDER 28K","4278","MANUF HOUS FARM",3,2,1,994,1,"MOBILE","SINGLE WIDE"
"M025492","594514202002",0,1976,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,2,1,924,1,"MOBILE","SINGLE WIDE"
"M025507","595510201003",0,1974,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,840,1,"MOBILE","SINGLE WIDE"
"M025522","567712202002",0,1971,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,780,1,"MOBILE","SINGLE WIDE"
"M025534","590327101004",0,1980,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,2,1,1064,1,"MOBILE","SINGLE WIDE"
"M025540","559710300121",0,1978,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,2,1,924,1,"MOBILE","SINGLE WIDE"
"M025542","566130121010",0,1983,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,2,1,1152,1,"MOBILE","DOUBLE WIDE"
"M025544","566520410003",0,1975,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",1,1,1,784,1,"MOBILE","SINGLE WIDE"
"M025546","566530300074",0,1968,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",1,1,1,672,1,"MOBILE","SINGLE WIDE"
"M025555","590909300012",0,1966,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,2,1,500,1,"MOBILE","SINGLE WIDE"
"M025556","566911200087",0,1977,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,2,1,924,1,"MOBILE","SINGLE WIDE"
"M025568","566512300007",0,1967,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,2,1,870,1,"MOBILE","SINGLE WIDE"
"M025569","567318200053",0,1973,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,2,1,1008,1,"MOBILE","SINGLE WIDE"
"M025586","566509300012",0,1972,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,672,1,"MOBILE","SINGLE WIDE"
"M025600","566507400017",0,1970,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",4,1,1,672,1,"MOBILE","SINGLE WIDE"
"M025605","566912201006",0,1979,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,2,1,952,1,"MOBILE","SINGLE WIDE"
"M025611","559710200006",0,1972,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,768,1,"MOBILE","SINGLE WIDE"
"M025618","567716100019",0,1968,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,2,1,840,1,"MOBILE","SINGLE WIDE"
"M025621","566509300012",0,1986,"1235","MANUFAC HOUSING ","1235","MANUFAC HOUSING",2,1,1,784,1,"MOBILE","SINGLE WIDE"
"M025622","566520410003",0,1977,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,2,1,840,1,"MOBILE","SINGLE WIDE"
"M025679","566130106004",0,1978,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,700,1,"MOBILE","SINGLE WIDE"
"M025683","559710200006",0,1978,"1235","MANUFAC HOUSING ","1235","MANUFAC HOUSING",3,2,1,1056,1,"MOBILE","DOUBLE WIDE"
"M025700","590321400027",0,1988,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,2,1,1404,1,"MOBILE","DOUBLE WIDE"
"M025705","559324100001",0,1972,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",1,1,1,576,1,"MOBILE","SINGLE WIDE"
"M025707","590918100013",0,1973,"9290","EXEMPT MH VALUE UNDER 28K","4278","MANUF HOUS FARM",3,2,1,1680,1,"MOBILE","DOUBLE WIDE"
"M025711","566115400025",0,1976,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,2,1,784,1,"MOBILE","SINGLE WIDE"
"M025720","566506300013",0,1987,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,2,1,1072,1,"MOBILE","SINGLE WIDE"
"M025727","566912101008",0,1979,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1.5,1,728,1,"MOBILE","SINGLE WIDE"
"M025744","591135301005",0,1968,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,1116,1,"MOBILE","SINGLE WIDE"
"M025773","566911101006",0,1974,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,1.5,1,1344,1,"MOBILE","DOUBLE WIDE"
"M025792","567716102005",0,1973,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,528,1,"MOBILE","SINGLE WIDE"
"M025793","590309300800",0,1979,"9290","EXEMPT MH VALUE UNDER 28K","4278","MANUF HOUS FARM",3,1.75,1,1036,1,"MOBILE","SINGLE WIDE"
"M025796","559703400056",0,1974,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,2,1,896,1,"MOBILE","SINGLE WIDE"
"M025804","566520410003",0,1977,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,2,1,952,1,"MOBILE","SINGLE WIDE"
"M025825","594311100128",0,1973,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,928,1,"MOBILE","SINGLE WIDE"
"M025827","567701306011",0,1979,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,2,1,1340,1,"MOBILE","SINGLE WIDE"
"M025850","566532400088",0,1980,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,2,1,924,1,"MOBILE","SINGLE WIDE"
"M025879","559710300131",0,1971,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",1,1,1,672,1,"MOBILE","SINGLE WIDE"
"M025894","566530300074",0,1971,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",1,1,1,840,1,"MOBILE","SINGLE WIDE"
"M025900","566126100021",0,1971,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,762,1,"MOBILE","SINGLE WIDE"
"M025902","559710100078",0,1977,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,1.5,1,1036,1,"MOBILE","SINGLE WIDE"
"M025903","595508300023",0,1972,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,784,1,"MOBILE","SINGLE WIDE"
"M025904","566520410003",0,1966,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,660,1,"MOBILE","SINGLE WIDE"
"M025906","566901402014",0,1973,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,2,1,1440,1,"MOBILE","DOUBLE WIDE"
"M025931","559710100038",0,1971,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,672,1,"MOBILE","SINGLE WIDE"
"M025948","566507400017",0,1962,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",1,1,1,642,1,"MOBILE","SINGLE WIDE"
"M025950","567933400093",0,1968,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,600,1,"MOBILE","SINGLE WIDE"
"M025952","567712202004",0,1961,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",1,1,1,500,1,"MOBILE","SINGLE WIDE"
"M025954","590909400091",0,1974,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,2,1,980,1,"MOBILE","SINGLE WIDE"
"M025957","616307101006",0,1957,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",1,1,1,430,1,"MOBILE","SINGLE WIDE"
"M025961","590328200504",0,1979,"9290","EXEMPT MH VALUE UNDER 28K","4278","MANUF HOUS FARM",3,2,1,1064,1,"MOBILE","SINGLE WIDE"
"M025979","559710200006",0,1988,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,2,1,1248,1,"MOBILE","SINGLE WIDE"
"M026011","566515300103",0,1971,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",1,1,1,672,1,"MOBILE","SINGLE WIDE"
"M026015","595508320004",0,1957,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",1,1,1,320,1,"MOBILE","SINGLE WIDE"
"M026034","567712100030",0,1975,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,910,1,"MOBILE","SINGLE WIDE"
"M026045","559710300121",0,1971,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,768,1,"MOBILE","SINGLE WIDE"
"M026050","566115400025",0,1972,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,800,1,"MOBILE","SINGLE WIDE"
"M026052","595523200208",0,1986,"9290","EXEMPT MH VALUE UNDER 28K","4278","MANUF HOUS FARM",2,2,1,1152,1,"MOBILE","DOUBLE WIDE"
"M026057","595302100164",0,1985,"9290","EXEMPT MH VALUE UNDER 28K","4278","MANUF HOUS FARM",3,2,1,938,1,"MOBILE","SINGLE WIDE"
"M026066","595508303001",0,1967,"9251","EX CHURCH IMP","1235","MANUFAC HOUSING",3,2,1,1248,1,"MOBILE","DOUBLE WIDE"
"M026082","590531200219",0,1971,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,2,1,1568,1,"MOBILE","DOUBLE WIDE"
"M026083","566518402002",0,1974,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,868,1,"MOBILE","SINGLE WIDE"
"M026093","595107100185",0,1984,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,2,1,948,1,"MOBILE","SINGLE WIDE"
"M026103","567310400264",0,1965,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,552,1,"MOBILE","SINGLE WIDE"
"M026105","565714400037",0,1978,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,2,1,924,1,"MOBILE","SINGLE WIDE"
"M026139","566507400017",0,1964,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,640,1,"MOBILE","SINGLE WIDE"
"M026183","566509300006",0,1984,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,1.5,1,896,1,"MOBILE","SINGLE WIDE"
"M026185","567712202004",0,1980,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,2,1,996,1,"MOBILE","SINGLE WIDE"
"M026209","566910100030",0,1972,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,2,1,840,1,"MOBILE","SINGLE WIDE"
"M026218","559324406001",0,1957,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",1,1,1,320,1,"MOBILE","SINGLE WIDE"
"M026238","559710200056",0,1973,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",1,1,1,684,1,"MOBILE","SINGLE WIDE"
"M026253","566911100076",0,1983,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,728,1,"MOBILE","SINGLE WIDE"
"M026264","590312100824",0,1969,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,672,1,"MOBILE","SINGLE WIDE"
"M026269","594520100043",0,1970,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,672,1,"MOBILE","SINGLE WIDE"
"M026278","590315400214",0,1976,"9290","EXEMPT MH VALUE UNDER 28K","4278","MANUF HOUS FARM",2,2,1,840,1,"MOBILE","SINGLE WIDE"
"M026282","566911300043",0,1974,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,2,1,924,1,"MOBILE","SINGLE WIDE"
"M026306","590332100175",0,1973,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,2,1,924,1,"MOBILE","SINGLE WIDE"
"M026331","566122100013",0,1977,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,2,1,840,1,"MOBILE","SINGLE WIDE"
"M026348","567712207004",0,1976,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1.5,1,684,1,"MOBILE","SINGLE WIDE"
"M026358","566518402002",0,1969,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,560,1,"MOBILE","SINGLE WIDE"
"M026359","559710200006",0,1972,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,728,1,"MOBILE","SINGLE WIDE"
"M026363","594517400287",0,1973,"9290","EXEMPT MH VALUE UNDER 28K","4278","MANUF HOUS FARM",3,2,1,910,1,"MOBILE","SINGLE WIDE"
"M026364","595508305002",0,1978,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,1.5,1,1176,1,"MOBILE","SINGLE WIDE"
"M026366","566912405034",0,1967,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,2,1,1266,1,"MOBILE","SINGLE WIDE"
"M026377","559710100038",0,1973,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,1,1,924,1,"MOBILE","SINGLE WIDE"
"M026379","566509300012",0,1987,"1235","MANUFAC HOUSING ","1235","MANUFAC HOUSING",2,2,1,896,1,"MOBILE","SINGLE WIDE"
"M026399","590119200170",0,1976,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1.5,1,924,1,"MOBILE","SINGLE WIDE"
"M026419","567717100069",0,1976,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,2,1,840,1,"MOBILE","SINGLE WIDE"
"M026425","559703400151",0,1971,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,720,1,"MOBILE","SINGLE WIDE"
"M026428","567308400028",0,1957,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",1,1,1,470,1,"MOBILE","SINGLE WIDE"
"M026429","590536200639",0,2003,"9290","EXEMPT MH VALUE UNDER 28K","4278","MANUF HOUS FARM",3,2.5,1,1680,1,"MOBILE","DOUBLE WIDE"
"M026432","566911200085",0,1986,"1235","MANUFAC HOUSING ","1235","MANUFAC HOUSING",3,2,1,1104,1,"MOBILE","SINGLE WIDE"
"M026436","566130107005",0,1975,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,1.5,1,1064,1,"MOBILE","SINGLE WIDE"
"M026448","567701305019",0,1981,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,2,1,1008,1,"MOBILE","SINGLE WIDE"
"M026450","590108200401",0,1957,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",1,1,1,420,1,"MOBILE","SINGLE WIDE"
"M026497","590311400609",0,1972,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,2,1,924,1,"MOBILE","SINGLE WIDE"
"M026502","567712202004",0,1992,"1235","MANUFAC HOUSING ","1235","MANUFAC HOUSING",3,2,1,891,1,"MOBILE","SINGLE WIDE"
"M026504","595112100084",0,1972,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,924,1,"MOBILE","SINGLE WIDE"
"M025002","566509300012",0,1979,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,1,1,980,1,"MOBILE","SINGLE WIDE"
"M025005","591135300062",0,1957,"9290","EXEMPT MH VALUE UNDER 28K","4278","MANUF HOUS FARM",1,1,1,352,1,"MOBILE","SINGLE WIDE"
"M025023","591135401020",0,1973,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,2,1,1584,1,"MOBILE","DOUBLE WIDE"
"M025026","590307300468",0,1968,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,1,1,720,1,"MOBILE","SINGLE WIDE"
"M025053","559710200006",0,1978,"1235","MANUFAC HOUSING ","1235","MANUFAC HOUSING",3,2,1,1342,1,"MOBILE","SINGLE WIDE"
"M025064","559703400090",0,1977,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,728,1,"MOBILE","SINGLE WIDE"
"M025068","590915200173",0,1989,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",0,2,1,0,1,"MOBILE","DOUBLE WIDE"
"M025081","590511200199",0,1972,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,2,1,980,1,"MOBILE","SINGLE WIDE"
"M025083","567712202004",0,1973,"1235","MANUFAC HOUSING ","1235","MANUFAC HOUSING",2,2,1,910,1,"MOBILE","SINGLE WIDE"
"M025086","590909300012",0,1975,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,2,1,1064,1,"MOBILE","SINGLE WIDE"
"M025089","567712202004",0,1971,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,2,1,924,1,"MOBILE","SINGLE WIDE"
"M025101","567131300066",0,1980,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1.5,1,1050,1,"MOBILE","SINGLE WIDE"
"M025112","559710200006",0,1980,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,938,1,"MOBILE","SINGLE WIDE"
"M025142","616309300038",0,1971,"9290","EXEMPT MH VALUE UNDER 28K","4278","MANUF HOUS FARM",1,1,1,672,1,"MOBILE","SINGLE WIDE"
"M025152","567716100020",0,1993,"1235","MANUFAC HOUSING ","1235","MANUFAC HOUSING",3,2,1,1248,1,"MOBILE","DOUBLE WIDE"
"M025157","566514100011",0,1970,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1.5,1,684,1,"MOBILE","SINGLE WIDE"
"M025161","568116100082",0,1979,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,1,1,980,1,"MOBILE","SINGLE WIDE"
"M025164","566504100011",0,1980,"1235","MANUFAC HOUSING ","1235","MANUFAC HOUSING",2,1.5,1,1008,1,"MOBILE","SINGLE WIDE"
"M025180","617101300800",0,1958,"9290","EXEMPT MH VALUE UNDER 28K","4278","MANUF HOUS FARM",2,1,1,820,1,"MOBILE","SINGLE WIDE"
"M025196","537728301028",0,1977,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,2,1,728,1,"MOBILE","SINGLE WIDE"
"M025199","566511400050",0,1955,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",1,1,1,304,1,"MOBILE","SINGLE WIDE"
"M025299","559324302051",0,1977,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,952,1,"MOBILE","SINGLE WIDE"
"M025305","595508213001",0,1972,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",2,1,1,720,1,"MOBILE","SINGLE WIDE"
"M025310","567132300012",0,1968,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,2,1,1560,1,"MOBILE","SINGLE WIDE"
"M025318","590309201006",0,1970,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,1.5,1,1128,1,"MOBILE","SINGLE WIDE"
"M025330","590311400389",0,1968,"9290","EXEMPT MH VALUE UNDER 28K","1235","MANUFAC HOUSING",3,2,1,1344,1,"MOBILE","SINGLE WIDE"
